width,height,megapixels,exposure_L,contrast_L,clip_high_pct,clip_low_pct,cast,cast_a,cast_b,colorfulness,tilt_deg,tilt_signed_deg,n_vertical_lines,keystone,sharpness,noise_sigma,graphic_score,file,defects,listing_id,photo_id,badness,wm_score
1680,945,1.5876,54.25560760498047,28.440380096435547,0.0,2.436319986979167,2.329449778926315,0.4977917671203613,2.2756404876708984,19.066343307495117,11.115936279296877,11.115936279296877,8,13.30058404643719,5000.086449097693,6.93234922118214,0.0167338053385416,132206416_1999391386.jpg,"storta,rumorosa",132206416,1999391386,9.865523666986013,0.10266183316707611
1049,1050,1.10145,73.58470153808594,8.897854804992676,0.0080983231707317,0.0,8.613957544400629,-0.5448135733604431,8.596711158752441,15.743526458740234,11.401748657226562,11.401748657226562,63,-16.03867125200916,146.90020666589595,0.5808047111361726,4.573170731707317e-05,130233754_1952993566.jpg,"dominante,storta",130233754,1952993566,8.254655157584532,0.06070785969495773
1049,1050,1.10145,66.260498046875,13.423364639282228,0.0073361280487804,9.527439024390244e-05,8.058699326664142,1.5759345293045044,7.903104782104492,25.991010665893555,11.387184143066406,-11.387184143066406,8,0.1316929878640921,228.30870095009973,0.6552913487259033,0.0001676829268292,130347710_1955312788.jpg,"dominante,storta",130347710,1955312788,8.10613092704364,0.045423902571201324
1400,1050,1.47,65.64704132080078,9.438358306884766,0.11749267578125,0.0174204508463541,6.216199573348214,0.0669611170887947,6.21583890914917,6.592705249786377,11.8878173828125,-11.8878173828125,16,1.740667036624578,172.353005922089,0.4996651954167647,0.0012041727701822,127061197_1966311352.jpg,"dominante,storta",127061197,1966311352,7.97926148187872,0.0722312331199646
1400,1050,1.47,50.05044174194336,24.763032913208008,0.1023610432942708,2.313486735026042,10.359990164099028,3.85241961479187,9.61708164215088,19.638051986694336,9.498443603515623,9.498443603515623,23,2.4351810341862636,618.459374924753,0.5311469527430259,0.0092671712239583,121195810_1725986310.jpg,"buia,dominante,storta",121195810,1725986310,7.617249102507504,0.07133641093969345
590,1050,0.6195,58.63029861450195,15.687423706054688,0.1879159234357848,0.0002679919045005,3.9712660491848175,1.3723500967025757,3.726608276367187,5.221427917480469,9.767684936523438,9.767684936523438,5,-13.146849064581804,45.883092368502055,0.3888265556932936,0.002955414722832,118733913_1962609228.jpg,"storta,sfocata,bassa_risoluzione",118733913,1962609228,7.247071751540592,0.08852341771125793
1400,1050,1.47,42.75613021850586,26.66313743591309,0.0019073486328125,5.190277099609375,1.075131314898442,-0.3388194441795349,1.0203473567962646,18.053544998168945,9.214332580566406,-9.214332580566406,31,-24.68270760486253,1128.6103054613857,1.0556410273563637,0.000104268391927,131152856_1974234772.jpg,"buia,storta",131152856,1974234772,6.567275365193685,0.06424444913864136
590,1050,0.6195,58.46852111816406,21.395872116088867,0.1911854246706915,0.4086340559824369,2.4820816124653415,1.2946902513504028,2.1176652908325195,4.828376770019531,9.067718505859377,-9.067718505859377,8,10.72517963168447,70.89940729808998,0.4136554348898585,0.0068857839942371,118733913_1962609234.jpg,"storta,sfocata,bassa_risoluzione",118733913,1962609234,6.363488882271417,0.07662392407655716
1154,865,0.99821,55.9093132019043,32.542991638183594,6.4370473225911455,4.820124308268229,3.4387749455837446,-0.0375628247857093,3.4385697841644287,9.4647798538208,9.9111328125,-9.9111328125,13,78.63186293162484,1156.601127790247,1.076904639908535,0.0439402262369791,121258006_1728231296.jpg,"sovraesposta,storta,bassa_risoluzione",121258006,1728231296,6.151126607259115,0.058091841638088226
1475,1050,1.54875,57.7236328125,17.285045623779297,5.0068587105624145,0.7110553840877915,8.244132258383468,3.60392165184021,7.414679050445557,10.461528778076172,8.323097229003906,-8.323097229003906,50,-42.85882586598942,188.3115716479483,0.5311469527430347,0.0592246977880658,132058930_1995895102.jpg,"dominante,storta",132058930,1995895102,6.109764550598472,0.07117602974176407
1154,865,0.99821,65.38411712646484,26.836355209350582,9.888076782226562,0.6884256998697917,5.5819613058781705,0.0568116679787635,5.581672191619873,14.51270580291748,8.135665893554688,8.135665893554688,12,-28.93951184159656,1323.2413602302097,2.6659529084891935,0.0740013122558593,121258006_1728231304.jpg,"sovraesposta,dominante,storta,rumorosa,bassa_risoluzione",121258006,1728231304,5.81871053938812,0.08277495205402374
1680,1050,1.764,59.6666259765625,22.247270584106445,0.00030517578125,0.275726318359375,10.746786726590532,1.2610551118850708,10.672542572021484,14.226361274719238,6.8369140625,6.8369140625,59,-22.947971775772924,367.9931243142113,1.543783099835951,0.0004119873046875,122116780_1754762348.jpg,"dominante,storta",122116780,1754762348,5.744639389980966,0.0754752978682518
787,1050,0.82635,66.55974578857422,22.26371383666992,0.6014509745607614,0.656427296852123,7.827242179597183,1.5611953735351562,7.669966697692871,11.688799858093262,7.32183837890625,-7.32183837890625,17,-17.222841228006768,101.18287812842696,0.3028167951663746,0.0768782027818448,132260672_2000615728.jpg,"dominante,storta,sfocata,bassa_risoluzione",132260672,2000615728,5.651654828696347,0.0753263458609581
